year,month,z20_mean,z20_std,z20_min,z20_max,valid_pct
2003,1,37.37397370665408,11.050100670494219,20.377250860171724,67.81446923048375,72.96296296296296
2003,2,38.260111216504086,15.675404314717099,10.86647328283875,76.41199505069252,72.96296296296296
2003,3,37.51879537081983,18.747082040396773,11.629885826629552,82.07427505163957,72.96296296296296
2003,4,35.55237437562565,20.81583725235934,5.0,85.26696231487455,72.96296296296296
2003,5,30.575503745346502,23.29127067462599,5.0,86.99268065441592,72.96296296296296
2003,6,25.138663046371942,27.02796010100565,5.0,91.74361674935221,72.96296296296296
2003,7,20.037327577980246,26.329580629375315,5.0,92.81057857844876,72.96296296296296
2003,8,8.87796434639947,17.83877609048771,5.0,97.83812752747926,72.96296296296296
2003,9,5.25419693663361,1.973186949754654,5.0,27.642152145388742,72.96296296296296
2003,10,5.402294755456362,2.2848336432119667,5.0,26.999450892507156,72.96296296296296
2003,11,20.402482947402927,15.884861684112568,5.0,63.478187761083724,72.96296296296296
2003,12,30.78724339390819,12.011798398180508,5.0,59.52738191022104,72.96296296296296
2004,1,32.56051628876327,14.578758257076704,7.802358005958646,59.74282714355526,72.96296296296296
2004,2,32.51732146959764,14.780832460214185,8.656010879627178,57.3676536589222,72.96296296296296
2004,3,29.59051737630779,15.677257806225557,6.784582800983518,55.87066445825633,72.96296296296296
2004,4,28.248267926631314,17.106039807656327,5.096101539861461,61.8207585236437,72.96296296296296
2004,5,25.709227050792506,20.689809220360697,5.0,72.65066896920335,72.96296296296296
2004,6,17.495832251051667,22.17514675535945,5.0,84.99957969948909,72.96296296296296
2004,7,5.443560463306431,3.0192517838374306,5.0,30.865832204942418,72.96296296296296
2004,8,5.0,0.0,5.0,5.0,72.96296296296296
2004,9,5.0,0.0,5.0,5.0,72.96296296296296
2004,10,6.893454406512434,5.579195555379262,5.0,32.517519389094076,72.96296296296296
2004,11,17.176556971447663,13.60497367445196,5.0,55.81080950879851,72.96296296296296
2004,12,24.674606702904416,12.681870851301321,5.0,55.53393030348245,72.96296296296296
2005,1,29.45654299469286,13.693467043073628,6.636906276366835,60.13940188379215,72.96296296296296
2005,2,30.79355200777501,17.63928516921889,5.0,61.66413074473977,72.96296296296296
2005,3,30.573249324665152,17.13658196890153,5.0,63.96978644659988,72.96296296296296
2005,4,30.007660259728898,17.84532518308779,5.0,63.712468051537996,72.96296296296296
2005,5,28.533227155828286,20.160896690411,5.0,73.56675877682298,72.96296296296296
2005,6,19.513118473923544,19.913620872806412,5.0,84.69503568946409,72.96296296296296
2005,7,9.677707799438927,10.177727312501537,5.0,46.07862841309989,72.96296296296296
