year,season,outcome,target,decision_month,is_summer,sst_z,chl_z,mhw_pct,lchl_pct,bio_thresh_pct,nino12_t1,nino12_t2,composite_hard
2010,1,NORMAL,0,3,1,0.005973248742520809,-0.12000968307256699,0.9208103130755065,3.794136491938975,88.39779005524862,-0.3,0.0,-0.009606827273964877
2010,2,NORMAL,0,10,0,-0.41468626260757446,0.032734740525484085,0.0,1.3905484267581,4.174340085942296,-1.35,-0.92,-0.44896840125322346
2011,1,NORMAL,0,3,1,-1.3596816062927246,0.4568988084793091,0.0,0.7099935927407484,61.6329036218539,0.01,-0.62,-0.7246321659088135
2011,2,REDUCED,1,10,0,-0.02639888785779476,-0.06330320984125137,3.6218538980969917,3.0218019983722098,2.271332105586249,-0.7,-0.06,-0.12523827120661735
2012,1,REDUCED,1,3,1,-0.3488140106201172,-0.11465073376893997,0.0,4.220132647583425,75.87476979742172,-0.15,-0.61,-0.1236653107404709
2012,2,REDUCED,1,10,0,0.3969065248966217,-0.6156192421913147,0.06138735420503376,3.1638007169203597,8.901166359729896,0.55,0.09,0.5150103068351746
2013,1,NORMAL,0,3,1,-1.2685080766677856,0.6022723913192749,0.0,0.6996034426030789,59.30018416206262,-0.11,-0.14,-0.7703121871948242
2013,2,NORMAL,0,10,0,-0.1950734406709671,-0.4355863034725189,1.043585021485574,1.7715205984726479,7.918968692449356,-0.77,-1.03,-0.0577948548793793
2014,1,DISRUPTED,1,3,1,-0.6407026052474976,0.36963048577308655,0.06138735420503376,1.0165030218019984,76.61141804788214,-0.92,0.19,-0.5881332364082337
2014,2,REDUCED,1,10,0,0.3918987810611725,-0.23531751334667206,0.9208103130755065,2.3273936308379657,8.47145488029466,0.74,1.02,0.3988865177631379
2015,1,REDUCED,1,3,1,0.5921112895011902,0.011471690610051155,8.225905463474524,4.263424939823714,89.37998772252917,-0.57,0.06,0.11825583955645563
2015,2,DISRUPTED,1,10,0,2.1463465690612793,-0.0736314132809639,91.52854511970534,1.2779884669333472,17.43400859422959,2.26,1.8,1.3399911929368973
2016,1,DISRUPTED,1,3,1,0.8265211582183838,-0.33151575922966003,16.94290976058932,8.019464214591235,90.914671577655,1.01,1.21,0.6652147669792177
2016,2,NORMAL,0,10,0,1.2623813152313232,0.6588399410247803,59.791282995702886,0.6874816007757979,3.7446286065070598,0.59,0.4,0.35941654968261716
2017,1,REDUCED,1,3,1,1.2300186157226562,-0.2924696207046509,53.83670963781461,8.478362512338302,92.20380601596071,1.14,1.07,0.8369952945709228
2017,2,NORMAL,0,10,0,-0.4554460346698761,0.35519400238990784,0.0,0.28572912878591095,7.243707796193983,-0.71,-0.28,-0.46625601482391354
2018,1,NORMAL,0,3,1,-1.28304123878479,0.1731347292661667,0.0,2.4105148319393215,58.011049723756905,-0.49,-0.74,-0.6804703872203827
2018,2,NORMAL,0,10,0,0.6391685605049133,-0.5428417921066284,3.867403314917127,2.54039170866019,8.962553713934929,0.02,-0.18,0.47680414104461677
2019,1,NORMAL,0,3,1,-0.15174506604671478,0.1480339914560318,1.7188459177409454,3.2434585346424925,75.93615715162676,0.67,0.8,0.014088376998901364
2019,2,NORMAL,0,10,0,0.14255985617637634,-0.15491899847984314,1.289134438305709,1.1827454240047102,9.330877839165131,-0.72,-0.47,-0.025008458137512193
2020,1,NORMAL,0,3,1,0.2041853964328766,0.11795038729906082,7.120933087783916,1.8442516494363344,83.30263965623081,0.14,-0.03,0.06249400365352631
2020,2,NORMAL,0,10,0,0.012333852238953114,0.4183560013771057,0.49109883364027007,0.12987687672086862,8.225905463474524,-0.76,-0.69,-0.3144088596552611
2021,1,NORMAL,0,3,1,-1.1977801322937012,0.8893663883209229,0.0,0.2268516113391172,56.660527931246165,-0.58,-0.74,-0.9508586082458497
2021,2,NORMAL,0,10,0,0.13697205483913422,0.3689122796058655,0.5524861878453038,0.7913831021524927,10.374462860650706,0.18,-0.01,-0.05677608990669251
2022,1,NORMAL,0,3,1,-1.1531293392181396,-0.30271294713020325,0.0,10.682806033213847,70.28852056476366,-1.43,-0.7,-0.6261665568351745
2022,2,DISRUPTED,1,10,0,-1.0258680582046509,,0.0,,7.059545733578883,-1.12,-0.57,
2023,1,CANCELLED,1,3,1,1.917378544807434,,92.75629220380601,,97.72866789441375,0.71,-0.24,
2023,2,DISRUPTED,1,10,0,2.3651678562164307,,92.01964395334561,,19.03007980356047,2.82,3.3,
2024,1,NORMAL,0,3,1,,,,,,0.92,0.83,
2024,2,NORMAL,0,10,0,,,,,,-0.68,-0.34,
