year,season,outcome,target,decision_month,is_summer,sst_z,chl_z,mhw_pct,lchl_pct,bio_thresh_pct,nino12_t1,nino12_t2,composite_hard,chl_source,sla_z,sla_cm,sla_pct_pos,thermal_shock,biomass_lag1
2010,1,NORMAL,0,3,1,0.0059732487425208,-0.222296267747879,0.9208103130755064,7.7420817636389,88.39779005524862,-0.3,0.0,0.0313078065961599,COP,-0.206485283516026,7.549383110401268,98.20323417847874,1,
2010,2,NORMAL,0,10,0,-0.4146862626075744,0.3537507057189941,0.0,0.8964699316310869,4.174340085942296,-1.35,-0.92,-0.5773747873306274,COP,-1.2491658910318468,-0.9447404671591104,26.5122778997804,0,
2011,1,NORMAL,0,3,1,-1.3596816062927246,0.3793133199214935,0.0,0.5825310450676713,61.6329036218539,0.01,-0.62,-0.6935979704856873,COP,-1.1526992804101124,4.514413056498307,98.31303653423838,1,
2011,2,REDUCED,1,10,0,-0.0263988878577947,0.4094835817813873,3.621853898096992,1.0133249616296918,2.271332105586249,-0.7,-0.06,-0.3143529878556728,COP,-1.1970630073824162,-0.7204881213815117,23.926931523258137,0,
2012,1,REDUCED,1,3,1,-0.3488140106201172,-0.4083431661128998,0.0,17.451513883075208,75.87476979742172,-0.15,-0.61,-0.0061883378028869,COP,-0.7925550798097527,5.648667398682374,97.09522858854062,1,
2012,2,REDUCED,1,10,0,0.3969065248966217,-0.172741025686264,0.0613873542050337,13.023231477605693,8.901166359729896,0.55,0.09,0.3378590202331543,COP,-0.5095419805110744,1.4828448792174156,76.91155919345178,0,
2013,1,NORMAL,0,3,1,-1.2685080766677856,0.2207753360271453,0.0,7.1002511511092505,59.30018416206262,-0.11,-0.14,-0.6177133650779724,COP,-0.6121829226828452,6.157528448792173,99.59073667398684,1,
2013,2,NORMAL,0,10,0,-0.1950734406709671,-0.1683332920074463,1.043585021485574,7.660108832147341,7.918968692449356,-0.77,-1.03,-0.1646960594654083,COP,-0.5095195266689903,1.739238370932331,80.30545018965861,0,
2014,1,DISRUPTED,1,3,1,-0.6407026052474976,0.2520855069160461,0.0613873542050337,2.520231617134087,76.61141804788214,-0.92,0.19,-0.5411152448654175,COP,-0.6733941195454225,6.022500499101615,99.4709522858854,1,
2014,2,REDUCED,1,10,0,0.3918987810611725,-0.1552897691726684,0.9208103130755064,9.700711594809544,8.47145488029466,0.74,1.02,0.3668754200935363,COP,0.320218657243019,4.5277590337393,96.61609103613496,0,
