year,month,date,nino12_anom,nino3_anom,nino34_anom,nino4_anom
2022,8,2022-08-01,-0.57,-0.53,-0.93,-0.98
2022,9,2022-09-01,-1.12,-0.8,-1.01,-0.93
2022,10,2022-10-01,-1.81,-0.92,-1.08,-0.85
2022,11,2022-11-01,-1.36,-0.89,-0.9,-0.93
2022,12,2022-12-01,-0.3,-0.78,-0.73,-0.84
2023,1,2023-01-01,-0.24,-0.5,-0.6,-0.69
2023,2,2023-02-01,0.71,-0.13,-0.52,-0.44
2023,3,2023-03-01,1.52,0.36,-0.14,-0.01
2023,4,2023-04-01,2.45,0.44,0.3,0.19
2023,5,2023-05-01,2.02,0.9,0.33,0.47
2023,6,2023-06-01,2.63,1.21,0.64,0.88
2023,7,2023-07-01,3.21,1.59,0.71,1.07
2023,8,2023-08-01,3.3,1.96,0.95,1.3
2023,9,2023-09-01,2.82,2.07,1.1,1.53
2023,10,2023-10-01,2.46,2.0,1.24,1.59
2023,11,2023-11-01,2.22,2.08,1.44,1.9
2023,12,2023-12-01,1.41,2.06,1.39,1.99
2024,1,2024-01-01,0.83,1.87,1.45,1.78
2024,2,2024-02-01,0.92,1.47,1.22,1.53
2024,3,2024-03-01,0.28,1.03,0.93,1.24
2024,4,2024-04-01,0.08,0.62,0.81,0.81
2024,5,2024-05-01,-0.68,-0.03,0.7,0.31
2024,6,2024-06-01,-0.65,-0.14,0.65,0.24
2024,7,2024-07-01,-0.41,-0.08,0.6,0.21
2024,8,2024-08-01,-0.34,-0.25,0.48,-0.07
2024,9,2024-09-01,-0.68,-0.16,0.3,-0.15
2024,10,2024-10-01,-0.32,-0.05,0.15,-0.28
2024,11,2024-11-01,0.26,-0.03,0.14,-0.14
2024,12,2024-12-01,-0.1,-0.35,-0.37,-0.62
2025,1,2025-01-01,-0.2,-0.18,-0.63,-0.71
2025,2,2025-02-01,0.69,0.11,-0.58,-0.35
2025,3,2025-03-01,1.15,0.51,-0.36,0.1
2025,4,2025-04-01,0.63,-0.03,-0.17,-0.16
2025,5,2025-05-01,0.16,-0.18,0.01,-0.04
2025,6,2025-06-01,0.61,-0.01,0.23,0.04
2025,7,2025-07-01,0.46,0.04,0.05,-0.06
2025,8,2025-08-01,0.23,-0.24,-0.06,-0.33
2025,9,2025-09-01,-0.18,-0.41,-0.27,-0.44
2025,10,2025-10-01,-0.04,-0.35,-0.33,-0.48
2025,11,2025-11-01,-0.34,-0.6,-0.52,-0.68
2025,12,2025-12-01,-0.43,-0.7,-0.23,-0.61
2026,1,2026-01-01,-0.29,-0.5,-0.04,-0.54
